"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,,
"Covariate simulations for MOM model M(3,2){cov(psi)} with a covariate predicting true species probabilities, 3 observation states, 2 true species states, a primary observer, and 3 identical secondary observers",,,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (rho>0)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,,
M.psi,99,3,2,1,3,encounter,20,0,0,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
n_p,n_s,mix_12,b0_psi_1,b1_psi_1,theta_p_21,theta_p_31,theta_p_12,theta_p_32,theta_s1_21,theta_s1_31,theta_s1_12,theta_s1_32,g_1,g_2
1500,750,0,-4.47,3,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1,1
1500,750,0,-4.47,3,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,1,1
1500,750,0,-4.47,3,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1,1
1500,750,0,-0.49,0.989,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1,1
1500,750,0,-0.49,0.989,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,1,1
1500,750,0,-0.49,0.989,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1,1
1500,750,0,-2.64,1.11,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1,1
1500,750,0,-2.64,1.11,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,1,1
1500,750,0,-2.64,1.11,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1,1
1500,750,0,-0.425,0.435,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1,1
1500,750,0,-0.425,0.435,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,1,1
1500,750,0,-0.425,0.435,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1,1
785,393,0,-4.47,3,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
785,393,0,-4.47,3,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
915,457,0,-0.49,0.989,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
915,457,0,-0.49,0.989,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
785,393,0,-2.64,1.11,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
785,393,0,-2.64,1.11,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
915,457,0,-0.425,0.435,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
915,457,0,-0.425,0.435,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
385,193,0,-4.47,3,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
385,193,0,-4.47,3,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
417,209,0,-0.49,0.989,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
417,209,0,-0.49,0.989,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
385,193,0,-2.64,1.11,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
385,193,0,-2.64,1.11,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
417,209,0,-0.425,0.435,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
417,209,0,-0.425,0.435,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
785,393,0.5,-4.47,3,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
785,393,0.5,-4.47,3,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
915,457,0.2,-0.49,0.989,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
915,457,0.2,-0.49,0.989,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
785,393,0.5,-2.64,1.11,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
785,393,0.2,-2.64,1.11,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
915,457,0.2,-0.425,0.435,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,1.1,2
915,457,0.2,-0.425,0.435,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,1.1,2
385,193,0.5,-4.47,3,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
385,193,0.5,-4.47,3,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
417,209,0.2,-0.49,0.989,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
417,209,0.2,-0.49,0.989,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
385,193,0.5,-2.64,1.11,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
385,193,0.5,-2.64,1.11,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
417,209,0.2,-0.425,0.435,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,3,4
417,209,0.2,-0.425,0.435,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,3,4
