"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,
"Covariate simulations for MOM model M(2,2){cov(theta)} with a covariate predicting classification probabilities, 2 observation states, 2 true species states, a primary observer, and  3 identical secondary observers",,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,
M.theta,99,2,2,1,3,constant,20,0,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
n_p,n_s,mix_12,b0_theta_p_21,b0_theta_p_12,b0_theta_s1_21,b0_theta_s1_12,b1_theta_p_21,b1_theta_p_12,b1_theta_s1_21,b1_theta_s1_12,psi_1,g_1,g_2
1500,750,0,-1.79,-1.417,-2.32,-3.34,-0.394,-0.315,-0.55,-0.958,0.1,1,1
1500,750,0,-1.79,-1.417,-2.32,-3.34,-0.394,-0.315,-0.55,-0.958,0.4,1,1
1500,750,0,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.1,1,1
1500,750,0,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.4,1,1
1500,750,0,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.1,1,1
1500,750,0,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.4,1,1
786,393,0,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.1,1.1,2
915,459,0,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.4,1.1,2
387,195,0,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.1,3,4
417,210,0,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.4,3,4
786,393,0,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.1,1.1,2
915,459,0,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.4,1.1,2
387,195,0,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.1,3,4
417,210,0,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.4,3,4
786,393,0,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.1,1.1,2
915,459,0,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.4,1.1,2
387,195,0,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.1,3,4
417,210,0,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.4,3,4
786,393,0.05,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.1,1.1,2
915,459,0.05,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.4,1.1,2
387,195,0.05,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.1,3,4
417,210,0.05,-1.945,-1.51,-2.63,-4.33,0.805,0.651,1.1,1.92,0.4,3,4
786,393,0.05,-1.79,-1.417,-2.32,-3.34,-0.394,-0.315,-0.55,-0.958,0.1,1.1,2
915,459,0.05,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.4,1.1,2
387,195,0.05,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.1,3,4
417,210,0.05,-1.79,-1.417,-2.32,-3.34,0.394,0.315,0.55,0.958,0.4,3,4
786,393,0.05,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.1,1.1,2
915,459,0.05,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.4,1.1,2
387,195,0.05,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.1,3,4
417,210,0.05,-2.809,-3.337,-4.315,-5.35,-0.734,-0.956,-1.385,-1.833,0.4,3,4
