"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,,,,,,,,,
"Covariate simulations for MOM model M(3,2){cov(theta)} with a covariate predicting classification probabilities, 3 classification states, 2 true species states, a primary observer, and identical secondary observers",,,,,,,,,,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,,,,,,,,,
M.theta,99,3,2,1,3,constant,20,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
n_p,n_s,mix,b0_theta_p_21,b0_theta_p_31,b0_theta_p_12,b0_theta_p_32,b0_theta_s1_21,b0_theta_s1_31,b0_theta_s1_12,b0_theta_s1_32,b1_theta_p_21,b1_theta_p_31,b1_theta_p_12,b1_theta_p_32,b1_theta_s1_21,b1_theta_s1_31,b1_theta_s1_12,b1_theta_s1_32,psi_1,g_1,g_2
1500,750,0,-1.508,-1.2,-1.025,-0.792,-2.16,-1.95,-3.272,-2.578,0.505,0.422,0.45,0.398,0.644,0.567,1.078,0.77,0.4,1,1
1500,750,0,-2.719,-2.385,-3.3105,-3.024,-4.416,-3.8191,-5.662,-4.533,0.845,0.703,1.094,0.964,1.614,1.343,2.1905,1.697,0.4,1,1
1500,750,0,-1.508,-1.2,-1.025,-0.792,-2.16,-1.95,-3.272,-2.578,0.505,0.422,0.45,0.398,0.644,0.567,1.078,0.77,0.1,1,1
1500,750,0,-2.719,-2.385,-3.3105,-3.024,-4.416,-3.8191,-5.662,-4.533,0.845,0.703,1.094,0.964,1.614,1.343,2.1905,1.697,0.1,1,1
915,457,0,-1.508,-1.2,-1.025,-0.792,-2.16,-1.95,-3.272,-2.578,0.505,0.422,0.45,0.398,0.644,0.567,1.078,0.77,0.4,1.1,2
915,457,0,-2.719,-2.385,-3.3105,-3.024,-4.416,-3.8191,-5.662,-4.533,0.845,0.703,1.094,0.964,1.614,1.343,2.1905,1.697,0.4,1.1,2
417,208,0,-1.508,-1.2,-1.025,-0.792,-2.16,-1.95,-3.272,-2.578,0.505,0.422,0.45,0.398,0.644,0.567,1.078,0.77,0.4,3,4
417,208,0,-2.719,-2.385,-3.3105,-3.024,-4.416,-3.8191,-5.662,-4.533,0.845,0.703,1.094,0.964,1.614,1.343,2.1905,1.697,0.4,3,4
915,457,0.05,-1.508,-1.2,-1.025,-0.792,-2.16,-1.95,-3.272,-2.578,0.505,0.422,0.45,0.398,0.644,0.567,1.078,0.77,0.4,1.1,2
