"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,
"Covariate simulations for SOM model M(2,2){cov(psi)} with a covariate predicting true species probabilities, 2 classification states, 2 true species states, and identical secondary observers",,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (rho>0)",,,,,,,,,
,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit
M.psi,99,2,2,0,3,encounter,20,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
n_p,n_s,mix_12,b0_psi_1,b1_psi_1,theta_s1_21,theta_s1_12,g_1,g_2,
1500,1500,0,-4.47,3,0.03,0.02,1,1,
1500,1500,0,-4.47,3,0.1,0.05,1,1,
1500,1500,0,-4.47,3,0.1,0.05,1,1,
1500,1500,0,-0.49,0.989,0.03,0.02,1,1,
1500,1500,0,-0.49,0.989,0.1,0.05,1,1,
1500,1500,0,-0.49,0.989,0.1,0.05,1,1,
1500,1500,0,-2.64,1.11,0.03,0.02,1,1,
1500,1500,0,-2.64,1.11,0.1,0.05,1,1,
1500,1500,0,-2.64,1.11,0.1,0.05,1,1,
1500,1500,0,-0.425,0.435,0.03,0.02,1,1,
1500,1500,0,-0.425,0.435,0.1,0.05,1,1,
1500,1500,0,-0.425,0.435,0.1,0.05,1,1,
786,786,0,-4.47,3,0.03,0.02,1.1,2,
786,786,0,-4.47,3,0.1,0.05,1.1,2,
915,915,0,-0.49,0.989,0.03,0.02,1.1,2,
915,915,0,-0.49,0.989,0.1,0.05,1.1,2,
786,786,0,-2.64,1.11,0.03,0.02,1.1,2,
786,786,0,-2.64,1.11,0.1,0.05,1.1,2,
915,915,0,-0.425,0.435,0.03,0.02,1.1,2,
915,915,0,-0.425,0.435,0.1,0.05,1.1,2,
385,385,0,-4.47,3,0.03,0.02,3,4,
385,385,0,-4.47,3,0.1,0.05,3,4,
417,417,0,-0.49,0.989,0.03,0.02,3,4,
417,417,0,-0.49,0.989,0.1,0.05,3,4,
385,385,0,-2.64,1.11,0.03,0.02,3,4,
385,385,0,-2.64,1.11,0.1,0.05,3,4,
417,417,0,-0.425,0.435,0.03,0.02,3,4,
417,417,0,-0.425,0.435,0.1,0.05,3,4,
786,786,0.5,-4.47,3,0.03,0.02,1.1,2,
786,786,0.5,-4.47,3,0.1,0.05,1.1,2,
915,915,0.2,-0.49,0.989,0.03,0.02,1.1,2,
915,915,0.2,-0.49,0.989,0.1,0.05,1.1,2,
786,786,0.5,-2.64,1.11,0.03,0.02,1.1,2,
786,786,0.5,-2.64,1.11,0.1,0.05,1.1,2,
915,915,0.2,-0.425,0.435,0.03,0.02,1.1,2,
915,915,0.2,-0.425,0.435,0.1,0.05,1.1,2,
385,385,0.5,-4.47,3,0.03,0.02,3,4,
385,385,0.5,-4.47,3,0.1,0.05,3,4,
417,417,0.2,-0.49,0.989,0.03,0.02,3,4,
417,417,0.2,-0.49,0.989,0.1,0.05,3,4,
385,385,0.5,-2.64,1.11,0.03,0.02,3,4,
385,385,0.5,-2.64,1.11,0.1,0.05,3,4,
417,417,0.2,-0.425,0.435,0.03,0.02,3,4,
417,417,0.2,-0.425,0.435,0.1,0.05,3,4,
