"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,
"Covariate simulations for SOM model M(2,2){cov(theta)} with a covariate predicting classification probabilities, 2 classification states, 2 true species states, and identical secondary observers",,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,
,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit
M.theta,99,2,2,0,3,constant,20,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
n_p,n_s,mix_12,b0_theta_s1_21,b0_theta_s1_12,b1_theta_s1_21,b1_theta_s1_12,psi_1,g_1,g_2
1500,1500,0,-2.32,-3.34,-0.55,-0.958,0.1,1,1
1500,1500,0,-2.32,-3.34,-0.55,-0.958,0.4,1,1
1500,1500,0,-2.63,-4.33,1.1,1.92,0.1,1,1
1500,1500,0,-2.63,-4.33,1.1,1.92,0.4,1,1
1500,1500,0,-4.315,-5.35,-1.385,-1.833,0.1,1,1
1500,1500,0,-4.315,-5.35,-1.385,-1.833,0.4,1,1
786,786,0,-2.63,-4.33,1.1,1.92,0.1,1.1,2
915,915,0,-2.63,-4.33,1.1,1.92,0.4,1.1,2
387,387,0,-2.63,-4.33,1.1,1.92,0.1,3,4
417,417,0,-2.63,-4.33,1.1,1.92,0.4,3,4
786,786,0,-2.32,-3.34,0.55,0.958,0.1,1.1,2
915,915,0,-2.32,-3.34,0.55,0.958,0.4,1.1,2
387,387,0,-2.32,-3.34,0.55,0.958,0.1,3,4
417,417,0,-2.32,-3.34,0.55,0.958,0.4,3,4
786,786,0,-4.315,-5.35,-1.385,-1.833,0.1,1.1,2
915,915,0,-4.315,-5.35,-1.385,-1.833,0.4,1.1,2
387,387,0,-4.315,-5.35,-1.385,-1.833,0.1,3,4
417,417,0,-4.315,-5.35,-1.385,-1.833,0.4,3,4
786,786,0.05,-2.63,-4.33,1.1,1.92,0.1,1.1,2
915,915,0.05,-2.63,-4.33,1.1,1.92,0.4,1.1,2
387,387,0.05,-2.63,-4.33,1.1,1.92,0.1,3,4
417,417,0.05,-2.63,-4.33,1.1,1.92,0.4,3,4
786,786,0.05,-2.32,-3.34,-0.55,-0.958,0.1,1.1,2
915,915,0.05,-2.32,-3.34,0.55,0.958,0.4,1.1,2
387,387,0.05,-2.32,-3.34,0.55,0.958,0.1,3,4
417,417,0.05,-2.32,-3.34,0.55,0.958,0.4,3,4
786,786,0.05,-4.315,-5.35,-1.385,-1.833,0.1,1.1,2
915,915,0.05,-4.315,-5.35,-1.385,-1.833,0.4,1.1,2
387,387,0.05,-4.315,-5.35,-1.385,-1.833,0.1,3,4
417,417,0.05,-4.315,-5.35,-1.385,-1.833,0.4,3,4
