"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,
"Covariate simulations for SOM model M(3,2){cov(theta)} with a covariate predicting classification probabilities, 3 observation states, 2 true species states, and 3 identical secondary observers",,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,
M.theta,99,3,2,0,3,constant,20,0,theta+0.12,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
n_p,n_s,mix,b0_theta_s1_21,b0_theta_s1_31,b0_theta_s1_12,b0_theta_s1_32,b1_theta_s1_21,b1_theta_s1_31,b1_theta_s1_12,b1_theta_s1_32,psi_1,g_1,g_2
1500,1500,0,-2.16,-1.95,-3.272,-2.578,0.644,0.567,1.078,0.77,0.4,1,1
1500,1500,0,-4.416,-3.8191,-5.662,-4.533,1.614,1.343,2.1905,1.697,0.4,1,1
1500,1500,0,-2.16,-1.95,-3.272,-2.578,0.644,0.567,1.078,0.77,0.1,1,1
1500,1500,0,-4.416,-3.8191,-5.662,-4.533,1.614,1.343,2.1905,1.697,0.1,1,1
915,915,0,-2.16,-1.95,-3.272,-2.578,0.644,0.567,1.078,0.77,0.4,1.1,2
915,915,0,-4.416,-3.8191,-5.662,-4.533,1.614,1.343,2.1905,1.697,0.4,1.1,2
417,417,0,-2.16,-1.95,-3.272,-2.578,0.644,0.567,1.078,0.77,0.4,3,4
417,417,0,-4.416,-3.8191,-5.662,-4.533,1.614,1.343,2.1905,1.697,0.4,3,4
915,915,0.05,-2.16,-1.95,-3.272,-2.578,0.644,0.567,1.078,0.77,0.4,1.1,2
