"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,
"Omnibus simulations for MOM model M(3,2) with 3 classification states, 2 true species states, a primary observer, and identical secondary observers",,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,,,,,
,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,
M,99,3,2,1,3,constant,0,0,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
n_p,n_s,mix_12,theta_p_21,theta_p_31,theta_p_12,theta_p_32,theta_s1_21,theta_s1_31,theta_s1_12,theta_s1_32,psi_1,g_1,g_2
1500,750,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.4,1,1
1500,750,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.4,1,1
1500,750,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.4,1,1
1500,1500,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.4,1,1
1500,1500,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.4,1,1
1500,1500,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.4,1,1
1500,750,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.1,1,1
1500,750,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.1,1,1
1500,750,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.1,1,1
1500,1500,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.1,1,1
1500,1500,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.1,1,1
1500,1500,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.1,1,1
915,458,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.4,1.1,2
915,458,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.4,1.1,2
915,458,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.4,1.1,2
915,915,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.4,1.1,2
915,915,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.4,1.1,2
915,915,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.4,1.1,2
786,393,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.1,1.1,2
786,393,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.1,1.1,2
786,393,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.1,1.1,2
786,786,0,0.07,0.09,0.05,0.06,0.03,0.04,0.02,0.03,0.1,1.1,2
786,786,0,0.2,0.25,0.15,0.2,0.1,0.12,0.05,0.08,0.1,1.1,2
786,786,0,0.15,0.2,0.2,0.25,0.1,0.12,0.05,0.08,0.1,1.1,2
