"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,
"Omnibus simulations for SOM model S(2,2) with 2 classification states, 2 true species states, and identical secondary observers",,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1), heterogeneous groups (pi>0)",,,,,,,,,
,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit
M,99,2,2,0,3,constant,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
n_p,n_s,mix_12,theta_s1_21,theta_s1_12,psi_1,g_1,g_2,,
1000,1000,0,0.03,0.02,0.4,1,1,,
1000,1000,0,0.1,0.05,0.4,1,1,,
1000,1000,0,0.1,0.05,0.4,1,1,,
1000,1000,0,0.03,0.02,0.4,1,1,,
1000,1000,0,0.1,0.05,0.4,1,1,,
1000,1000,0,0.1,0.05,0.4,1,1,,
1000,1000,0,0.03,0.02,0.1,1,1,,
1000,1000,0,0.1,0.05,0.1,1,1,,
1000,1000,0,0.1,0.05,0.1,1,1,,
1000,1000,0,0.03,0.02,0.1,1,1,,
1000,1000,0,0.1,0.05,0.1,1,1,,
1000,1000,0,0.1,0.05,0.1,1,1,,
610,610,0,0.03,0.02,0.4,1.1,2,,
610,610,0,0.1,0.05,0.4,1.1,2,,
610,610,0,0.1,0.05,0.4,1.1,2,,
610,610,0,0.03,0.02,0.4,1.1,2,,
610,610,0,0.1,0.05,0.4,1.1,2,,
610,610,0,0.1,0.05,0.4,1.1,2,,
524,524,0,0.03,0.02,0.1,1.1,2,,
524,524,0,0.1,0.05,0.1,1.1,2,,
524,524,0,0.1,0.05,0.1,1.1,2,,
524,524,0,0.03,0.02,0.1,1.1,2,,
524,524,0,0.1,0.05,0.1,1.1,2,,
524,524,0,0.1,0.05,0.1,1.1,2,,
278,278,0,0.03,0.02,0.4,3,4,,
278,278,0,0.1,0.05,0.4,3,4,,
278,278,0,0.1,0.05,0.4,3,4,,
278,278,0,0.03,0.02,0.4,3,4,,
278,278,0,0.1,0.05,0.4,3,4,,
278,278,0,0.1,0.05,0.4,3,4,,
257,257,0,0.03,0.02,0.1,3,4,,
257,257,0,0.1,0.05,0.1,3,4,,
257,257,0,0.1,0.05,0.1,3,4,,
257,257,0,0.03,0.02,0.1,3,4,,
257,257,0,0.1,0.05,0.1,3,4,,
257,257,0,0.1,0.05,0.1,3,4,,
610,610,0.05,0.03,0.02,0.4,1.1,2,,
610,610,0.05,0.1,0.05,0.4,1.1,2,,
610,610,0.05,0.1,0.05,0.4,1.1,2,,
610,610,0.05,0.03,0.02,0.4,1.1,2,,
610,610,0.05,0.1,0.05,0.4,1.1,2,,
610,610,0.05,0.1,0.05,0.4,1.1,2,,
524,524,0.05,0.03,0.02,0.1,1.1,2,,
524,524,0.05,0.1,0.05,0.1,1.1,2,,
524,524,0.05,0.1,0.05,0.1,1.1,2,,
524,524,0.05,0.03,0.02,0.1,1.1,2,,
524,524,0.05,0.1,0.05,0.1,1.1,2,,
524,524,0.05,0.1,0.05,0.1,1.1,2,,
278,278,0.05,0.03,0.02,0.4,3,4,,
278,278,0.05,0.1,0.05,0.4,3,4,,
278,278,0.05,0.1,0.05,0.4,3,4,,
278,278,0.05,0.03,0.02,0.4,3,4,,
278,278,0.05,0.1,0.05,0.4,3,4,,
278,278,0.05,0.1,0.05,0.4,3,4,,
257,257,0.05,0.03,0.02,0.1,3,4,,
257,257,0.05,0.1,0.05,0.1,3,4,,
257,257,0.05,0.1,0.05,0.1,3,4,,
257,257,0.05,0.03,0.02,0.1,3,4,,
257,257,0.05,0.1,0.05,0.1,3,4,,
257,257,0.05,0.1,0.05,0.1,3,4,,
