"Metadata and common inputs rows 1-9, distinct models on rows 10+",,,,,,,,,,,,,,,,,,,,,,,,,,
"Omnibus simulations for SOM model S(4,4) with 4 classification states, 4 true species states, and identical secondary observers",,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups of size 1 (g=1), homogeneous groups (g>1)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,reps,A,B,O_p,O_s,mx_model,n_bins,n_bootstrap,t_limit,,,,,,,,,,,,,,,,,
M,99,4,4,0,3,constant,0,0,theta+0.12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
n_p,n_s,mix_12,mix_13,mix_14,mix_23,mix_24,mix_34,theta_s1_21,theta_s1_31,theta_s1_41,theta_s1_12,theta_s1_32,theta_s1_42,theta_s1_13,theta_s1_23,theta_s1_43,theta_s1_14,theta_s1_24,theta_s1_34,psi_1,psi_2,psi_3,g_1,g_2,g_3,g_4
1800,1800,0,0,0,0,0,0,0.03,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.02,0.03,0.04,0.05,0.3,0.3,0.2,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.14,0.05,0.08,0.11,0.12,0.09,0.06,0.06,0.08,0.1,0.3,0.3,0.2,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.08,0.05,0.08,0.11,0.12,0.09,0.06,0.1,0.08,0.06,0.3,0.3,0.2,1,1,1,1
1800,1800,0,0,0,0,0,0,0.03,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.02,0.03,0.04,0.05,0.3,0.3,0.2,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.14,0.05,0.08,0.11,0.12,0.09,0.06,0.06,0.08,0.1,0.3,0.3,0.2,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.08,0.05,0.08,0.11,0.12,0.09,0.06,0.1,0.08,0.06,0.3,0.3,0.2,1,1,1,1
1800,1800,0,0,0,0,0,0,0.03,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.02,0.03,0.04,0.05,0.1,0.2,0.3,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.14,0.05,0.08,0.11,0.12,0.09,0.06,0.06,0.08,0.1,0.1,0.2,0.3,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.08,0.05,0.08,0.11,0.12,0.09,0.06,0.1,0.08,0.06,0.1,0.2,0.3,1,1,1,1
1800,1800,0,0,0,0,0,0,0.03,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.02,0.03,0.04,0.05,0.1,0.2,0.3,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.14,0.05,0.08,0.11,0.12,0.09,0.06,0.06,0.08,0.1,0.1,0.2,0.3,1,1,1,1
1800,1800,0,0,0,0,0,0,0.1,0.12,0.08,0.05,0.08,0.11,0.12,0.09,0.06,0.1,0.08,0.06,0.1,0.2,0.3,1,1,1,1
1184,1184,0,0,0,0,0,0,0.03,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.02,0.03,0.04,0.05,0.1,0.2,0.3,1.1,2,1.5,1.4
1184,1184,0,0,0,0,0,0,0.1,0.12,0.14,0.05,0.08,0.11,0.12,0.09,0.06,0.06,0.08,0.1,0.1,0.2,0.3,1.1,2,1.5,1.4
1184,1184,0,0,0,0,0,0,0.1,0.12,0.08,0.05,0.08,0.11,0.12,0.09,0.06,0.1,0.08,0.06,0.1,0.2,0.3,1.1,2,1.5,1.4
1192,1192,0,0,0,0,0,0,0.03,0.04,0.05,0.02,0.03,0.04,0.05,0.04,0.02,0.03,0.04,0.05,0.3,0.3,0.2,1.1,2,1.5,1.4
1192,1192,0,0,0,0,0,0,0.1,0.12,0.14,0.05,0.08,0.11,0.12,0.09,0.06,0.06,0.08,0.1,0.3,0.3,0.2,1.1,2,1.5,1.4
1192,1192,0,0,0,0,0,0,0.1,0.12,0.08,0.05,0.08,0.11,0.12,0.09,0.06,0.1,0.08,0.06,0.3,0.3,0.2,1.1,2,1.5,1.4
